Source,Target,Year,QuadClass,ECount,NSources,MaxSources,AvgSources,StdDevSources
RUS,EUR,2013,1,618,924,23,1.4951456310679612,2.2860600167430127
RUS,AFG,2009,1,296,513,23,1.7331081081081081,2.5217128565016873
RUS,PHL,2014,3,11,52,23,4.7272727272727275,6.388910847568765
RUS,IRN,2009,3,162,270,23,1.6666666666666667,2.2814401031145612
RUS,GRC,2017,4,120,224,22,1.8666666666666667,2.5069092200426826
RUS,ESP,2010,1,83,158,22,1.9036144578313252,3.466264095012639
RUS,UKR,2009,1,1873,2768,22,1.4778430325680727,1.6806036648595997
RUS,PRK,2017,2,73,132,22,1.8082191780821917,3.0671083660463543
RUS,ISR,2013,1,603,1087,22,1.802653399668325,2.522166103060909
RUS,KOR,2017,2,5,30,22,6.0,9.0
RUS,GBR,2016,2,251,497,22,1.9800796812749004,2.868379611143807
RUS,POL,2015,3,203,544,22,2.6798029556650245,4.29147623526136
RUS,BRA,2016,1,120,261,22,2.175,3.472974895078964
RUS,NLD,2013,4,161,303,22,1.8819875776397517,2.707348522973117
RUS,ISR,2017,3,152,212,21,1.394736842105263,1.8238954554129616
RUS,USA,2014,4,1261,1984,21,1.5733544805709754,1.686186810751327
RUS,PAK,2012,4,68,131,21,1.9264705882352942,3.205946789954188
RUS,EUR,2017,2,71,149,21,2.0985915492957745,3.2476581874041606
RUS,ARE,2015,1,152,314,21,2.0657894736842106,3.2544845323459737
RUS,HUN,2017,3,17,56,21,3.2941176470588234,5.324057497369288
RUS,CAN,2012,4,31,69,21,2.225806451612903,3.8097215770478106
RUS,GRC,2015,3,75,160,21,2.1333333333333333,3.561556497471952
RUS,VEN,2013,1,224,287,21,1.28125,1.4629677589328924
RUS,MDV,2015,3,4,47,20,11.75,7.88986691902975
RUS,ISR,2016,1,1704,2401,20,1.409037558685446,1.5908393109329968
RUS,TJK,2010,1,304,454,20,1.493421052631579,2.525112710032407
RUS,LTU,2017,1,81,125,20,1.5432098765432098,2.966687473917877
RUS,IRQ,2016,1,291,463,20,1.5910652920962198,1.9283160151652867
RUS,DEU,2010,1,620,859,20,1.385483870967742,1.4418560527877797
RUS,FJI,2012,1,44,104,20,2.3636363636363638,4.103832066756059
RUS,LAO,2016,4,3,28,20,9.333333333333334,9.71253485622231
RUS,GRC,2013,1,207,346,20,1.671497584541063,2.2935767587536953
