ECount,Target,MaxSources,StdDevSources,NSources,Source,Year,AvgSources,QuadClass
579,COL,10,0.7753153937311001,703,FRA,2008,1.2141623488773747,1
416,ISR,10,0.7636273552722632,495,FRA,2010,1.1899038461538463,1
39,NGA,10,2.034121879795394,63,FRA,2013,1.6153846153846154,3
313,TUR,10,1.0323969045667578,404,FRA,2009,1.29073482428115,1
328,ESP,9,1.0869169488938861,425,FRA,2007,1.295731707317073,1
193,MMR,9,1.6104955844813271,334,FRA,2012,1.7305699481865284,1
95,ITA,9,1.0710482981112,129,FRA,2010,1.3578947368421053,3
100,ESP,9,1.5894538799108444,183,FRA,2013,1.83,1
64,NOR,9,2.0250783837465307,115,FRA,2012,1.796875,1
13,SOM,9,2.1984843263788196,26,FRA,2008,2.0,3
360,LBN,9,0.9118999046429922,437,FRA,2009,1.2138888888888888,1
88,IND,9,1.5278244823613805,123,FRA,2009,1.3977272727272727,1
17,IDN,9,2.689850203570277,36,FRA,2012,2.1176470588235294,2
843,LBN,9,0.7820671921387463,1022,FRA,2007,1.2123368920521946,1
34,SRB,9,1.8289121865459412,53,FRA,2013,1.5588235294117647,1
3,LUX,9,4.358898943540674,12,FRA,2013,4.0,3
38,SOM,9,1.428225928551641,58,FRA,2008,1.5263157894736843,4
34,IDN,9,1.386527999374022,45,FRA,2012,1.3235294117647058,1
116,SWE,9,1.0517351979166294,134,FRA,2009,1.1551724137931034,1
67,PRT,9,2.0552081639130684,112,FRA,2012,1.671641791044776,1
5,CUB,9,3.361547262794322,17,FRA,2013,3.4,2
10,NLD,9,3.1640339933558095,33,FRA,2010,3.3,2
4,BMU,9,4.0,12,FRA,2013,3.0,1
4,LUX,9,3.8622100754188224,13,FRA,2013,3.25,2
43,CMR,9,2.6175572120934634,114,FRA,2013,2.6511627906976742,4
102,DEU,9,1.0429059799115894,129,FRA,2010,1.2647058823529411,3
74,NER,9,1.7295908866897547,114,FRA,2010,1.5405405405405406,1
62,NLD,9,2.487408800004435,130,FRA,2012,2.096774193548387,1
36,PSE,9,2.372293779821078,71,FRA,2009,1.9722222222222223,4
223,ITA,9,1.1158774135777976,280,FRA,2007,1.2556053811659194,1
148,ESP,9,1.6895877448549068,255,FRA,2014,1.722972972972973,1
26,IRL,9,1.8178601113989452,46,FRA,2013,1.7692307692307692,3
72,GRC,9,1.6298756157117344,118,FRA,2012,1.6388888888888888,2
29,GAB,9,1.8342660711315668,49,FRA,2009,1.6896551724137931,4
174,EGY,9,1.1256370050767666,241,FRA,2013,1.3850574712643677,1
143,QAT,9,1.1135210303355332,199,FRA,2013,1.3916083916083917,1
130,CAN,9,1.2709543599564963,191,FRA,2010,1.4692307692307693,1
31,NLD,9,1.6969295484707427,53,FRA,2010,1.7096774193548387,1
103,ITA,9,1.1725329114856597,142,FRA,2010,1.3786407766990292,4
40,COG,9,1.8114663277053358,61,FRA,2010,1.525,1
2,AFR,9,5.656854249492381,10,FRA,2012,5.0,4
629,DEU,9,0.7198484049609167,728,FRA,2008,1.1573926868044515,1
