ECount,Target,StdDevSources,NSources,Source,Year,AvgSources,QuadClass
11850,USA,4.0872209713812575,22900,IRN,2014,1.9324894514767932,3
492,NLD,2.685728445714929,950,IRN,2011,1.9308943089430894,4
675,PAK,6.12526598555357,1303,IRN,2011,1.9303703703703703,4
43,VAT,2.93902598732179,83,IRN,2014,1.930232558139535,1
1241,BHR,3.6949072281319286,2395,IRN,2012,1.9298952457695406,1
8504,FRA,3.0118119412272266,16409,IRN,2009,1.9295625587958607,1
3204,ISR,3.3383218187889367,6178,IRN,2011,1.928214731585518,4
1055,CHE,3.9132583857965515,2034,IRN,2013,1.9279620853080568,3
4467,FRA,3.5381861890470674,8612,IRN,2010,1.9279158271770764,1
189,BHR,2.916354255473778,364,IRN,2012,1.9259259259259258,4
1118,RUS,4.7544625157503155,2152,IRN,2012,1.924865831842576,2
794,UKR,4.719825642119404,1528,IRN,2014,1.9244332493702772,1
5482,EUR,3.3610351909841074,10548,IRN,2013,1.9241152863918278,1
39,POL,2.8320033395071693,75,IRN,2013,1.9230769230769231,3
1244,GBR,3.210325211641072,2392,IRN,2012,1.9228295819935692,4
6151,CHN,3.684679302006277,11823,IRN,2010,1.922126483498618,1
1119,MYS,4.06542220986999,2149,IRN,2014,1.9204647006255586,1
25,IDN,1.9983326383095816,48,IRN,2014,1.92,3
24,HRV,2.33901998553959,46,IRN,2009,1.9166666666666667,2
12,VAT,1.1645001528813148,23,IRN,2006,1.9166666666666667,3
549,QAT,3.2617406461680747,1052,IRN,2012,1.9162112932604736,3
71,LBY,2.328374533404547,136,IRN,2009,1.9154929577464788,3
339,AUT,3.1569024469080103,649,IRN,2014,1.9144542772861357,4
671,CUB,5.165757892868799,1284,IRN,2013,1.9135618479880776,1
8863,SYR,4.701461609210523,16946,IRN,2011,1.9119936815976533,1
45,NRU,2.031817616884653,86,IRN,2012,1.9111111111111112,1
75,AUT,2.2067055874197514,143,IRN,2013,1.9066666666666667,2
74,PNG,1.6399876287448434,141,IRN,2014,1.9054054054054055,1
10,SEN,1.728840330651992,19,IRN,2009,1.9,2
10,TUV,2.2335820757001272,19,IRN,2012,1.9,3
10,ISL,0.316227766016838,19,IRN,2003,1.9,1
1693,RUS,3.824838700115196,3216,IRN,2013,1.8995865327820438,3
2133,ISR,3.7320003653734424,4050,IRN,2013,1.8987341772151898,2
16089,USA,3.5626630463148095,30539,IRN,2013,1.8981291565665983,3
1371,EGY,3.8681271903230985,2601,IRN,2011,1.8971553610503282,3
1459,QAT,3.456183257639765,2761,IRN,2012,1.892392049348869,1
2319,EUR,5.061393263019918,4387,IRN,2010,1.8917636912462268,1
83,TUN,2.3582343963474806,157,IRN,2011,1.891566265060241,4
10435,GBR,3.065826889803734,19729,IRN,2013,1.890656444657403,1
1368,JOR,3.376446299587906,2585,IRN,2010,1.8896198830409356,1
36,TTO,1.87887166410022,68,IRN,2010,1.8888888888888888,1
14134,RUS,3.104030064831408,26693,IRN,2009,1.8885665770482525,1
1741,IRQ,7.103389149981216,3287,IRN,2010,1.8879954049396899,3
836,CAN,3.683175963222415,1578,IRN,2011,1.88755980861244,1
664,DEU,4.880862467127436,1253,IRN,2011,1.8870481927710843,3
1777,IRQ,4.010865082857167,3350,IRN,2011,1.8851997749015195,2
423,NGA,3.463870351638276,797,IRN,2013,1.884160756501182,1
8841,GBR,3.1583981841850792,16653,IRN,2014,1.8836104513064134,1
144,AUT,4.123099736539421,271,IRN,2012,1.8819444444444444,3
5112,SYR,3.56595587264474,9616,IRN,2013,1.8810641627543037,3
25,CYP,2.4886408606573456,47,IRN,2011,1.88,3
149,AUS,3.322553462197437,280,IRN,2009,1.8791946308724832,3
