Source,Target,Year,QuadClass,ECount,NSources,MaxSources,AvgSources,StdDevSources
USA,GBR,2011,1,7646,19560,135,2.5582003662045514,6.152217834419574
USA,LBY,2012,3,1934,4163,135,2.15253360910031,5.393468228033398
USA,EGY,2012,1,7283,21657,135,2.9736372374021696,7.407981124303466
USA,LBY,2016,4,1358,3194,135,2.3519882179675995,7.539419845572987
USA,YEM,2010,3,527,1751,134,3.3225806451612905,10.411966763428632
USA,KEN,2015,4,427,1810,134,4.23887587822014,12.267330814246177
USA,DZA,2011,1,216,1207,133,5.587962962962963,20.19375089888116
USA,WST,2016,2,153,664,133,4.339869281045751,14.280168157776684
USA,NGA,2015,1,4914,11214,133,2.282051282051282,7.045851357800097
USA,IRN,2016,2,2710,6355,133,2.3450184501845017,7.123868648538042
USA,MAR,2016,1,873,3043,133,3.4856815578465064,13.203335301950261
USA,AFG,2012,4,1861,5290,133,2.8425577646426654,6.8245630615596555
USA,GBR,2013,1,6723,13311,132,1.9799196787148594,4.745474819657433
USA,ITA,2014,1,2528,6004,132,2.375,5.606913167431363
USA,NLD,2010,1,482,1274,132,2.6431535269709543,9.789109142820926
USA,LBN,2017,2,84,523,132,6.226190476190476,20.587954830625115
USA,RWA,2016,3,42,530,131,12.619047619047619,35.71701267173389
USA,LBY,2011,1,10110,28974,131,2.8658753709198814,6.947111129961116
USA,CAN,2011,1,3068,6252,131,2.0378096479791394,5.872951545586719
USA,LAO,2014,1,81,427,130,5.271604938271605,15.949931305243148
USA,SEA,2014,1,1052,2948,130,2.802281368821293,9.24633156998533
USA,BRA,2011,1,1826,4510,130,2.4698795180722892,7.13359189716788
USA,GTM,2017,1,177,657,130,3.711864406779661,13.481111593622087
USA,CHN,2015,2,1236,3056,130,2.472491909385113,8.99788840388007
USA,KEN,2009,1,1533,2370,129,1.5459882583170255,3.604827759742168
USA,IRQ,2014,4,2995,7161,129,2.390984974958264,5.76821145517029
USA,UKR,2014,3,3148,7098,129,2.254764930114358,4.886109261953567
USA,SOM,2016,1,527,1341,129,2.544592030360531,9.857029501030972
USA,VNM,2015,1,2844,8787,129,3.089662447257384,9.56132687108248
USA,AFR,2009,1,3486,5287,129,1.5166379804934023,3.3343796300227844
USA,BHR,2017,3,60,396,129,6.6,21.96777300609822
USA,NRU,2017,2,36,324,128,9.0,28.98571076533105
USA,POL,2011,1,1786,6175,128,3.4574468085106385,10.350368156957703
USA,PRK,2017,2,587,1906,128,3.2470187393526406,11.247994306062058
USA,AUS,2015,3,297,958,128,3.225589225589226,11.958244572244427
USA,CUB,2017,2,626,1993,128,3.18370607028754,9.10207658081754
USA,PSE,2016,1,2211,4663,128,2.109000452284034,7.154871481971508
USA,CIV,2011,1,313,901,128,2.878594249201278,10.14342444916866
USA,GTM,2016,1,264,1337,128,5.0643939393939394,16.397382859782994
USA,SDN,2017,2,418,1663,128,3.978468899521531,13.0125199092535
USA,IRN,2012,1,9092,22264,128,2.4487461504619445,7.32481850956122
USA,LAO,2015,1,203,1610,127,7.931034482758621,21.84180686532983
USA,AUS,2016,2,420,816,127,1.9428571428571428,7.194307709314173
USA,CHL,2017,1,315,1866,127,5.923809523809524,14.257657617152073
USA,FRA,2017,2,1593,4375,127,2.746390458254865,8.926892552502748
USA,EUR,2016,4,308,721,126,2.340909090909091,9.765858988165089
USA,PAK,2012,4,1354,3474,126,2.5657311669128506,7.111749224583668
USA,AUS,2015,4,222,1073,126,4.833333333333333,18.845745986290613
USA,MEX,2016,3,1097,2743,126,2.5004557885141296,7.520182684103243
USA,BHR,2017,4,33,324,126,9.818181818181818,28.458801961623564
USA,EGY,2015,1,2513,4912,126,1.9546358933545562,4.8407287317506125
USA,IDN,2011,1,2552,6205,126,2.4314263322884013,7.376475252143949
USA,CAN,2015,3,1288,3515,126,2.7290372670807455,7.176996079983518
USA,SAU,2017,3,679,2071,125,3.0500736377025035,9.620398183235919
USA,KOR,2017,1,3292,11907,125,3.6169501822600245,10.94720867396761
USA,JPN,2015,2,342,1073,125,3.1374269005847952,10.038714054599195
USA,JPN,2015,3,659,2017,125,3.0606980273141122,10.814234967461648
USA,BOL,2017,4,21,404,125,19.238095238095237,37.97749960424562
USA,SOM,2017,2,132,737,125,5.583333333333333,19.925066366767812
