ECount,Target,MaxSources,StdDevSources,NSources,Source,Year,AvgSources,QuadClass
2392,PAK,77,2.7240137094457806,3948,IND,2010,1.6505016722408026,3
20,DNK,7,1.6944180805158293,33,IND,2013,1.65,2
159,SAS,27,2.3710766789513076,262,IND,2009,1.6477987421383649,4
124,POL,9,1.7164604740977245,204,IND,2014,1.6451612903225807,1
101,CAN,17,2.1935549157285377,166,IND,2013,1.6435643564356435,2
410,SAU,12,1.6640713687177175,672,IND,2012,1.6390243902439023,4
982,JPN,47,3.251387999609739,1609,IND,2010,1.6384928716904277,1
572,AUS,31,2.7735186438687016,936,IND,2011,1.6363636363636365,1
11,POL,6,1.5666989036012806,18,IND,2012,1.6363636363636365,4
11,NMR,5,1.2060453783110545,18,IND,2013,1.6363636363636365,2
140,CAN,26,2.9092032440003854,229,IND,2013,1.6357142857142857,3
178,SAS,24,2.688397381323786,291,IND,2012,1.6348314606741574,3
19,TZA,4,1.2565617248750864,31,IND,2008,1.631578947368421,1
1107,RUS,44,3.1610802878336295,1806,IND,2011,1.6314363143631436,1
496,ITA,14,1.7600974805641598,809,IND,2014,1.6310483870967742,1
2506,PAK,96,2.7135771173490495,4087,IND,2010,1.6308858739026337,4
248,MMR,17,1.842069114740753,403,IND,2009,1.625,1
8,UGA,6,1.7677669529663689,13,IND,2007,1.625,3
56,KEN,11,2.2848314041641116,91,IND,2014,1.625,1
16,PSE,8,1.746424919657298,26,IND,2012,1.625,3
40,NGA,6,1.3716450912718845,65,IND,2010,1.625,4
16,IRL,3,0.806225774829855,26,IND,2003,1.625,1
24,TUN,4,0.875388112682647,39,IND,2011,1.625,1
268,FRA,38,2.790390524240014,435,IND,2012,1.623134328358209,4
3386,PAK,40,2.2643482026389052,5485,IND,2013,1.6199054932073242,4
21,SYC,4,1.023532631438318,34,IND,2009,1.619047619047619,1
430,GBR,47,2.73518521159048,696,IND,2014,1.6186046511627907,4
217,TUR,11,1.7095232390136637,351,IND,2010,1.6175115207373272,1
2429,PAK,57,2.231827812151743,3919,IND,2014,1.6134211609715932,4
133,DEU,24,2.9409197346835216,214,IND,2012,1.6090225563909775,4
