ECount,Target,MaxSources,StdDevSources,NSources,Source,Year,AvgSources,QuadClass
690,DEU,31,3.0640581053478013,1146,IRQ,2010,1.6608695652173913,1
159,PAK,12,1.9383869996718348,264,IRQ,2012,1.6603773584905661,2
2022,EGY,44,2.6596089162430303,3357,IRQ,2014,1.6602373887240356,1
50,MCO,20,2.7672280391048667,83,IRQ,2011,1.66,4
314,KWT,23,2.453749960937412,521,IRQ,2013,1.6592356687898089,2
176,CHN,18,2.036166502517421,292,IRQ,2013,1.6590909090909092,2
44,QAT,15,2.4772751517725786,73,IRQ,2010,1.6590909090909092,3
85,PAK,13,1.9973371628988728,141,IRQ,2009,1.6588235294117648,2
259,PAK,19,2.338104470130482,429,IRQ,2011,1.6563706563706564,4
29,KOR,14,2.424220965720822,48,IRQ,2011,1.6551724137931034,4
220,RUS,27,3.315761071299124,364,IRQ,2009,1.6545454545454545,2
688,MEA,43,2.587527075754003,1138,IRQ,2011,1.6540697674418605,1
26,BRA,6,1.5477030126560507,43,IRQ,2012,1.6538461538461537,1
325,SAU,17,2.0349650171643296,537,IRQ,2012,1.6523076923076923,3
23,ARG,3,0.8316847989130756,38,IRQ,2009,1.6521739130434783,3
23,MEX,6,1.3006535298622317,38,IRQ,2009,1.6521739130434783,2
40681,USA,140,2.4616663027407446,67151,IRQ,2009,1.6506723040239915,1
403,JOR,49,3.573558051682884,665,IRQ,2014,1.650124069478908,3
191,OMN,16,2.3322649734346825,315,IRQ,2008,1.649214659685864,1
94,BEL,6,1.373383286557663,155,IRQ,2014,1.648936170212766,2
91,ITA,9,1.4558207030448218,150,IRQ,2010,1.6483516483516483,2
557,SYR,54,3.3717591742620043,918,IRQ,2011,1.6481149012567324,2
207,FRA,17,2.169130332921629,341,IRQ,2011,1.6473429951690821,4
107,EGY,20,2.431135833808218,176,IRQ,2012,1.644859813084112,4
259,EUR,13,1.8122328333653426,426,IRQ,2014,1.6447876447876448,2
14,BEL,6,1.6458405781822274,23,IRQ,2011,1.6428571428571428,2
14,CUB,4,1.0082080720186266,23,IRQ,2008,1.6428571428571428,3
14,CIV,3,0.7449463436684919,23,IRQ,2007,1.6428571428571428,2
2648,KWT,49,3.557733978809542,4349,IRQ,2012,1.6423716012084593,1
50,ITA,11,2.0178792666296657,82,IRQ,2014,1.64,2
919,TUR,37,2.3795109373167542,1507,IRQ,2011,1.6398258977149076,2
47,MNG,8,1.4952901698171819,77,IRQ,2014,1.6382978723404256,1
94,EUR,32,3.438714012658749,154,IRQ,2010,1.6382978723404256,2
594,CHN,25,2.7951958710083415,973,IRQ,2012,1.638047138047138,1
58,DEU,10,1.774065366604308,95,IRQ,2010,1.6379310344827587,3
287,JOR,26,2.3640027605575438,470,IRQ,2013,1.637630662020906,4
