ECount,Target,StdDevSources,NSources,Source,Year,AvgSources,QuadClass
307,CRI,1.8061632342,473,BRA,2009,1.5407166124,1
26,ISR,1.1038394532,40,BRA,2008,1.5384615385,4
26,GNQ,0.9046886417,40,BRA,2010,1.5384615385,1
13,SAU,1.1266014243,20,BRA,2012,1.5384615385,4
781,GBR,2.2803890029,1201,BRA,2010,1.5377720871,1
2127,CHN,2.5220635106,3266,BRA,2012,1.5354960038,1
15,SRB,0.5163977795,23,BRA,2013,1.5333333333,1
15,SAS,0.743223353,23,BRA,2010,1.5333333333,1
90,CHL,1.670631987,138,BRA,2013,1.5333333333,2
15,NIC,1.1254628677,23,BRA,2012,1.5333333333,2
15,NMR,0.9154754164,23,BRA,2007,1.5333333333,1
154,IRN,1.4469658639,236,BRA,2010,1.5324675325,2
94,GBR,1.5289474042,144,BRA,2010,1.5319148936,3
47,GAB,1.0601694661,72,BRA,2011,1.5319148936,1
113,CUB,1.5645104007,173,BRA,2012,1.5309734513,2
138,COM,1.3410532356,211,BRA,2009,1.5289855072,1
484,CHN,1.8775401435,739,BRA,2009,1.5268595041,2
112,NOR,1.26604884,171,BRA,2012,1.5267857143,1
59,ESP,3.2713802434,90,BRA,2012,1.5254237288,3
414,IRN,2.6504412599,631,BRA,2013,1.5241545894,1
65,ESP,1.0768543934,99,BRA,2011,1.5230769231,3
44,CHL,1.5324192207,67,BRA,2014,1.5227272727,3
1234,GBR,2.2154556756,1879,BRA,2012,1.5226904376,1
881,RUS,1.4953950227,1340,BRA,2011,1.5209988649,1
179,CHN,1.5626999903,272,BRA,2013,1.5195530726,3
1542,ARG,2.6099341419,2343,BRA,2012,1.5194552529,1
54,JOR,1.2993574717,82,BRA,2012,1.5185185185,1
31,NZL,0.9263177188,47,BRA,2013,1.5161290323,2
31,GIN,0.8896054459,47,BRA,2014,1.5161290323,3
31,ZAF,0.6768046366,47,BRA,2013,1.5161290323,4
128,RUS,0.9879938713,194,BRA,2013,1.515625,4
130,FRA,1.6435668123,197,BRA,2014,1.5153846154,2
66,PRY,2.5252108777,100,BRA,2010,1.5151515152,3
68,CAN,1.1780663015,103,BRA,2009,1.5147058824,4
41,MEX,1.3806149213,62,BRA,2009,1.512195122,4
13577,USA,1.8607275703,20529,BRA,2009,1.5120424247,1
211,ISR,1.8730168931,319,BRA,2013,1.5118483412,1
1706,CHN,2.088702766,2574,BRA,2010,1.5087924971,1
67,DNK,1.439414173,101,BRA,2007,1.5074626866,1
728,AFR,1.5128817157,1097,BRA,2014,1.5068681319,1
685,JPN,1.6628166571,1031,BRA,2009,1.5051094891,1
6441,USA,3.1934078604,9683,BRA,2010,1.503337991,1
169,QAT,2.3045613681,254,BRA,2012,1.5029585799,1
2,DZA,0.7071067812,3,BRA,2004,1.5,3
2,CHL,0.7071067812,3,BRA,1996,1.5,4
2,NAM,0.7071067812,3,BRA,2014,1.5,3
6,IDN,0.5477225575,9,BRA,1997,1.5,1
40,TUR,0.9336995618,60,BRA,2009,1.5,2
24,RUS,0.9780192938,36,BRA,2008,1.5,3
6,UGA,0.5477225575,9,BRA,2012,1.5,4
10,TTO,0.8498365856,15,BRA,2009,1.5,2
6,NOR,0.8366600265,9,BRA,2003,1.5,2
