ECount,Target,MaxSources,StdDevSources,NSources,Source,Year,AvgSources,QuadClass
40,SWZ,14,3.644103069273313,98,ZAF,2011,2.45,4
23,TCD,5,1.926515624279462,56,ZAF,2011,2.4347826086956523,1
21,CIV,6,1.886038933093073,51,ZAF,2012,2.4285714285714284,1
44,LBR,13,3.459521285731172,106,ZAF,2014,2.409090909090909,1
22,PHL,10,3.1571399189032574,53,ZAF,2011,2.409090909090909,3
10,KWT,8,2.9514591494904874,24,ZAF,2009,2.4,1
5,BEL,6,2.073644135332772,12,ZAF,2009,2.4,4
15,GIN,18,4.355620342893601,36,ZAF,2012,2.4,1
10,PSE,5,1.5055453054181622,24,ZAF,2008,2.4,3
252,GBR,65,5.880654739971188,603,ZAF,2012,2.392857142857143,3
111,SOM,34,5.222204215790193,263,ZAF,2012,2.369369369369369,4
64,COD,19,3.2482825132236086,151,ZAF,2013,2.359375,2
17,MUS,10,2.6206195944515733,40,ZAF,2009,2.3529411764705883,4
102,COG,26,3.956814046988578,240,ZAF,2013,2.3529411764705883,1
131,PSE,29,3.6897439229929834,308,ZAF,2009,2.351145038167939,3
178,NAM,47,6.8677599759240335,418,ZAF,2012,2.348314606741573,1
71,FRA,24,4.491082153944735,166,ZAF,2013,2.3380281690140845,3
80,LSO,28,4.480460391126754,187,ZAF,2014,2.3375,2
3,MLT,4,1.5275252316519468,7,ZAF,2009,2.3333333333333335,2
3,LBR,4,1.5275252316519468,7,ZAF,2007,2.3333333333333335,3
3,MDV,4,1.5275252316519468,7,ZAF,2008,2.3333333333333335,3
3,MDG,4,1.5275252316519468,7,ZAF,2008,2.3333333333333335,4
6,HUN,3,0.816496580927726,14,ZAF,2002,2.3333333333333335,1
9,HRV,7,2.6457513110645903,21,ZAF,2009,2.3333333333333335,1
3,CIV,5,2.3094010767585034,7,ZAF,2013,2.3333333333333335,4
94,SDN,22,3.897097806177417,218,ZAF,2012,2.3191489361702127,4
7,LBY,4,1.6035674514745462,16,ZAF,2014,2.2857142857142856,3
18,LKA,7,2.468759048961657,41,ZAF,2009,2.2777777777777777,3
653,USA,81,5.640343130197679,1486,ZAF,2013,2.2756508422664625,2
22,NOR,7,2.1861429000000845,50,ZAF,2013,2.272727272727273,3
96,AUS,52,5.550683536223105,218,ZAF,2010,2.2708333333333335,3
181,RWA,14,2.7846152802594895,411,ZAF,2014,2.270718232044199,2
26,FRA,12,3.3652065886978453,59,ZAF,2009,2.269230769230769,3
2059,LBY,136,5.351270433128838,4668,ZAF,2011,2.2671199611461876,1
169,CHE,43,3.677913793606876,382,ZAF,2011,2.260355029585799,1
4,JOR,6,2.5,9,ZAF,2009,2.25,2
4,PER,6,2.5,9,ZAF,2011,2.25,4
8,TUN,10,3.1509635714446826,18,ZAF,2009,2.25,1
8,JPN,6,2.3145502494313788,18,ZAF,2010,2.25,4
16,COG,7,2.3804761428476167,36,ZAF,2009,2.25,3
4,TCD,5,1.8929694486000912,9,ZAF,2014,2.25,3
8,KGZ,4,1.3887301496588274,18,ZAF,2012,2.25,1
155,SWE,13,2.5465585014071896,348,ZAF,2011,2.2451612903225806,4
233,LBY,30,4.2136149368647695,523,ZAF,2011,2.244635193133047,3
144,GBR,21,3.3034132121245214,323,ZAF,2011,2.2430555555555554,2
13,URY,5,1.9215378456610455,29,ZAF,2011,2.230769230769231,1
63,CHN,51,6.335879510819886,140,ZAF,2012,2.2222222222222223,3
18,LBY,7,1.699673171197595,40,ZAF,2012,2.2222222222222223,3
64,CHN,17,2.989233325288588,142,ZAF,2009,2.21875,4
24,MYS,4,1.4738050920238275,53,ZAF,2009,2.2083333333333335,1
45,THA,49,7.143337646175821,99,ZAF,2011,2.2,4
16,CHE,18,4.246076620442295,35,ZAF,2010,2.1875,2
43,THA,26,4.821854088929695,94,ZAF,2014,2.186046511627907,4
70,ESP,17,3.3505044272742377,153,ZAF,2009,2.1857142857142855,1
11,GNQ,11,2.960343960359398,24,ZAF,2009,2.1818181818181817,3
39,MAR,12,2.93680631112129,85,ZAF,2014,2.1794871794871793,1
17,IRQ,11,3.14712754185557,37,ZAF,2010,2.176470588235294,3
24,MCO,10,2.598773400742319,52,ZAF,2009,2.1666666666666665,1
6,URY,4,1.169045194450012,13,ZAF,2012,2.1666666666666665,1
36,IDN,7,1.6647608150808246,78,ZAF,2009,2.1666666666666665,4
369,MOZ,27,3.2591493243435896,799,ZAF,2013,2.165311653116531,4
113,SOM,40,4.672423605737588,244,ZAF,2012,2.15929203539823,2
32,CAN,24,4.600907168612898,69,ZAF,2014,2.15625,3
328,MOZ,24,3.6733514469132564,706,ZAF,2009,2.152439024390244,1
