ECount,Target,StdDevSources,NSources,Source,Year,AvgSources,QuadClass
3,GRD,1.0,6,CHN,2000,2.0,1
1,KNA,,2,CHN,2013,2.0,2
1,PLW,,2,CHN,1997,2.0,2
1,GUY,,2,CHN,1998,2.0,2
1,HKG,,2,CHN,1999,2.0,2
1,GIN,,2,CHN,1998,2.0,4
1,WAF,,2,CHN,1997,2.0,4
2,COK,0.0,4,CHN,1999,2.0,1
2,ARM,0.0,4,CHN,1998,2.0,2
7,BOL,1.0,14,CHN,2010,2.0,3
1,GNB,,2,CHN,1998,2.0,4
15,MEA,2.878491668515698,30,CHN,2013,2.0,2
2,LIE,0.0,4,CHN,2011,2.0,1
2,WSM,0.0,4,CHN,2008,2.0,2
3,ASA,1.7320508075688772,6,CHN,2012,2.0,3
1,TUV,,2,CHN,1999,2.0,1
1,BOL,,2,CHN,1996,2.0,3
1,ESP,,2,CHN,1997,2.0,4
2,VEN,0.0,4,CHN,2006,2.0,4
2,PER,0.0,4,CHN,1996,2.0,2
1,BWA,,2,CHN,2001,2.0,1
2,HTI,0.0,4,CHN,2005,2.0,2
2,VCT,0.0,4,CHN,2012,2.0,4
1,FIN,,2,CHN,1997,2.0,3
1,CRB,,2,CHN,2014,2.0,1
1634,EUR,4.654963967204316,3261,CHN,2012,1.9957160342717257,2
702,PHL,5.408027162097788,1400,CHN,2010,1.9943019943019944,3
2401,EGY,5.782834380248819,4781,CHN,2012,1.9912536443148687,1
854,MEX,3.564492552369596,1698,CHN,2011,1.9882903981264637,1
847,GBR,5.274818310301023,1683,CHN,2010,1.9870129870129871,3
146,MNG,2.6729456858650003,290,CHN,2011,1.9863013698630136,4
189,SDN,3.723810948986167,375,CHN,2009,1.9841269841269842,3
60,ZMB,2.236004810845517,119,CHN,2013,1.9833333333333334,3
8787,IRN,3.3459755446873256,17415,CHN,2013,1.9819050870604302,1
872,CAN,3.2409316349170747,1727,CHN,2012,1.9805045871559632,3
607,CAN,4.647963954637981,1202,CHN,2011,1.9802306425041185,3
303,JAM,5.2638594068134115,600,CHN,2011,1.9801980198019802,1
532,BRN,2.6306796886144213,1053,CHN,2014,1.9793233082706767,4
89,WST,3.447586534248823,176,CHN,2011,1.9775280898876404,4
16700,JPN,4.0853718503150835,33006,CHN,2011,1.9764071856287426,1
40,MLI,2.224427324746062,79,CHN,2009,1.975,2
153,WST,3.529849617376558,302,CHN,2012,1.973856209150327,1
8904,USA,4.386574065839357,17555,CHN,2012,1.971585804132974,4
69,HKG,1.740275624660321,136,CHN,2011,1.9710144927536233,2
6915,USA,4.243017357734583,13628,CHN,2011,1.9707881417208966,4
418,BRN,3.2474048301133953,822,CHN,2011,1.9665071770334928,3
6674,DEU,3.476938730890118,13111,CHN,2013,1.964489062031765,1
601,SLE,3.3571118043969435,1179,CHN,2014,1.961730449251248,1
6611,IRN,3.8125432113741384,12947,CHN,2014,1.9584026622296173,1
441,DEU,3.6200770351847518,863,CHN,2014,1.9569160997732427,4
23,COL,2.142179452409184,45,CHN,2010,1.9565217391304348,3
349,NOR,2.4088357919422902,682,CHN,2013,1.9541547277936964,1
575,SDN,2.9454187464914057,1123,CHN,2012,1.9530434782608697,2
106,HKG,3.8132153048792934,207,CHN,2013,1.9528301886792452,3
342,EUR,4.005917532953195,667,CHN,2011,1.9502923976608186,4
791,MEX,6.212887508633189,1542,CHN,2010,1.9494310998735778,1
97,MEX,3.7063322335470086,189,CHN,2012,1.9484536082474226,3
38,CYP,3.187368383470726,74,CHN,2012,1.9473684210526316,2
19,HRV,1.7150861400630166,37,CHN,2012,1.9473684210526316,4
130,PLW,3.9341705950201913,253,CHN,2012,1.9461538461538461,1
54,LBY,1.630102053370437,105,CHN,2014,1.9444444444444444,3
11811,FRA,3.080663667276659,22958,CHN,2013,1.9437812208957752,1
421,LBY,3.9019628238260458,818,CHN,2012,1.9429928741092637,1
1411,SYR,3.829000027441528,2741,CHN,2011,1.9425939050318923,3
98,ARG,4.24462383196179,190,CHN,2012,1.9387755102040816,3
145,NLD,2.746767518514496,281,CHN,2014,1.9379310344827587,2
3749,AUS,3.726292058168053,7245,CHN,2014,1.9325153374233128,2
3186,RUS,3.121071140659247,6156,CHN,2013,1.9322033898305084,3
29,BOL,2.2027747839414893,56,CHN,2014,1.9310344827586208,3
2135,AUS,3.972594762230695,4122,CHN,2014,1.9306791569086652,3
13300,AUS,3.4630607359415766,25629,CHN,2014,1.9269924812030075,1
108,LUX,1.323431561232197,208,CHN,2010,1.9259259259259258,1
15138,RUS,4.389978653372759,29128,CHN,2011,1.924164354604307,1
52,GNB,1.3697882167228261,100,CHN,2013,1.9230769230769231,1
1896,BRN,4.448399990080703,3646,CHN,2011,1.9229957805907174,1
931,FRA,3.789406824203853,1790,CHN,2012,1.9226638023630505,3
6151,IRN,3.684679302006277,11823,CHN,2010,1.922126483498618,1
218,AFR,6.509714227032867,419,CHN,2012,1.9220183486238531,4
228,ESP,4.010217647849156,438,CHN,2012,1.9210526315789473,2
334,FRA,3.191965027462696,641,CHN,2010,1.9191616766467066,4
329,TUR,3.7215523390902403,631,CHN,2012,1.917933130699088,3
155,SWE,3.8661952146507064,297,CHN,2010,1.9161290322580644,3
3343,SEA,4.645165430301882,6404,CHN,2011,1.915644630571343,1
93,LAO,3.0419384336825597,178,CHN,2014,1.913978494623656,2
8495,GBR,4.215885846285107,16257,CHN,2010,1.9137139493819895,1
463,ECU,3.977355893775788,886,CHN,2012,1.9136069114470842,1
304,SOM,4.143706498234671,581,CHN,2011,1.9111842105263157,1
55,SOM,2.3825968347094895,105,CHN,2010,1.9090909090909092,4
11,TUV,1.044465935734187,21,CHN,2013,1.9090909090909092,1
11,CRB,0.8312094145936336,21,CHN,2011,1.9090909090909092,1
11,PLW,3.015113445777636,21,CHN,2011,1.9090909090909092,4
305,EGY,3.865939963744741,582,CHN,2011,1.9081967213114754,4
864,HTI,3.7173306577440046,1647,CHN,2010,1.90625,1
