USA,TMP,2011,4,5,109,21.8,27.142218037588602
USA,TMP,2012,4,12,177,14.75,15.909545448052134
USA,AIA,2010,4,17,180,10.588235294117647,14.504563176503334
USA,GEO,2010,4,61,602,9.868852459016393,19.146344655343544
USA,FJI,2010,3,90,888,9.866666666666667,26.27221371493362
USA,SYC,2013,2,7,57,8.142857142857142,8.610624666239794
USA,EST,2011,3,28,200,7.142857142857143,21.872889164974993
USA,BDI,2012,3,27,179,6.62962962962963,13.16799192724583
USA,ABW,2012,4,104,686,6.596153846153846,14.902608900919715
USA,LAM,2014,4,4,26,6.5,5.196152422706632
USA,BFA,2010,2,18,116,6.444444444444445,15.216949614017771
USA,SEN,2011,2,98,594,6.061224489795919,11.907561771880363
USA,BFA,2011,2,27,156,5.777777777777778,9.303983155837212
USA,SEN,2010,2,106,612,5.773584905660377,9.99455377299526
USA,CAF,2012,3,60,335,5.583333333333333,14.45893268755605
USA,AGO,2011,4,124,680,5.483870967741935,20.072018249321655
USA,VUT,2012,4,13,71,5.461538461538462,9.179827382322108
USA,SEN,2012,2,278,1506,5.41726618705036,9.798990061108201
USA,HTI,2012,3,408,2198,5.387254901960785,20.827406682167567
USA,LAO,2012,3,62,324,5.225806451612903,15.171607817406946
USA,SEN,2014,2,240,1254,5.225,8.774213359822179
USA,KNA,2010,2,24,125,5.208333333333333,18.719854994483605
USA,TJK,2011,2,87,453,5.206896551724138,15.917036310437275
USA,MHL,2011,1,270,1375,5.092592592592593,16.77299621938219
USA,UZB,2011,2,134,681,5.082089552238806,15.638322173845015
USA,OMN,2010,2,653,3307,5.064318529862175,15.669286251404191
USA,ATG,2010,3,21,106,5.0476190476190474,14.541238566491474
USA,CYM,2010,2,36,178,4.944444444444445,20.008490261378608
USA,PNG,2011,4,15,74,4.933333333333334,7.685484153042454
USA,SEN,2011,4,57,281,4.9298245614035086,12.972305182749361
USA,AUT,2013,4,466,2294,4.92274678111588,18.538841462225975
USA,MDA,2012,4,25,122,4.88,9.662297863344929
USA,VAT,2011,2,148,711,4.804054054054054,11.486554567571295
USA,KIR,2011,2,25,120,4.8,10.230672835481872
USA,BTN,2011,4,54,253,4.685185185185185,12.331619236090912
USA,EST,2012,4,92,429,4.663043478260869,17.11324734208839
USA,CYM,2011,4,91,423,4.648351648351649,10.307897324515183
USA,KNA,2011,2,22,100,4.545454545454546,10.49138999700536
USA,MDA,2011,2,76,345,4.5394736842105265,10.969583145496683
USA,ABW,2011,1,1173,5280,4.501278772378517,9.266312435101458
USA,BGR,2010,2,246,1105,4.491869918699187,15.791173424473095
USA,BEL,2011,2,1235,5493,4.447773279352226,9.768278854537197
USA,PER,2012,2,911,4000,4.390779363336993,11.749906829027474
USA,GMB,2012,4,41,180,4.390243902439025,8.904712372616217
USA,NER,2012,2,97,425,4.381443298969073,8.943623542046907
USA,SEN,2013,2,378,1641,4.341269841269841,8.091154450762307
USA,HRV,2010,2,180,775,4.305555555555555,8.78425281142323
USA,MHL,2011,2,38,163,4.2894736842105265,11.01573296192668
USA,KWT,2013,3,181,776,4.287292817679558,15.146151101385582
USA,GIN,2010,2,109,465,4.26605504587156,11.001382237932198
USA,SMR,2011,4,38,162,4.2631578947368425,5.186699260381181
USA,OMN,2011,4,470,2002,4.259574468085106,7.320900930682875
USA,CPV,2011,2,20,85,4.25,6.850854729617013
USA,ALB,2011,3,110,463,4.209090909090909,12.23252954145157
USA,NGA,2012,2,2114,8810,4.167455061494796,9.542658871510469
USA,COG,2012,2,176,732,4.159090909090909,7.849129325525932
USA,DMA,2012,4,135,560,4.148148148148148,11.814182293390873
USA,BRB,2010,3,35,145,4.142857142857143,8.575419239083907
USA,GIN,2010,4,109,449,4.1192660550458715,9.894559644948743
USA,MEA,2010,4,52,213,4.096153846153846,8.41394644153178
USA,NIC,2011,2,189,773,4.08994708994709,8.459374410836627
USA,AUT,2012,2,476,1946,4.088235294117647,10.81327586740115
USA,ERI,2012,3,105,428,4.076190476190476,9.327064875626158
USA,KIR,2012,1,149,607,4.073825503355705,16.171836530002675
USA,ERI,2012,4,68,275,4.044117647058823,7.137108874777672
USA,TTO,2012,3,143,576,4.027972027972028,10.243475461011208
USA,DMA,2012,2,44,177,4.0227272727272725,7.629467464007904
USA,ERI,2013,3,46,185,4.021739130434782,7.237215948553031
USA,THA,2011,2,1021,4071,3.9872673849167484,12.03763845953004
USA,CAF,2012,1,466,1854,3.9785407725321886,10.4007635583768
USA,TGO,2010,3,41,161,3.926829268292683,5.488124651930015
USA,MEA,2011,4,177,695,3.926553672316384,18.609632952412664
USA,SRB,2012,2,162,634,3.9135802469135803,13.216494052982684
USA,SLV,2010,4,831,3248,3.9085439229843564,9.047734811911925
USA,HND,2011,2,190,737,3.8789473684210525,13.976968165440757
USA,ABW,2010,1,476,1834,3.8529411764705883,14.2729560898153
USA,OMN,2010,1,1385,5336,3.852707581227437,11.204353520960789
USA,ABW,2011,2,375,1444,3.8506666666666667,8.993705067311781
USA,NAM,2010,2,83,318,3.8313253012048194,7.288178328231832
USA,ARE,2010,2,878,3358,3.8246013667425967,11.572831620261386
USA,SMR,2012,1,67,256,3.8208955223880596,9.864115210339873
USA,GAB,2011,1,370,1413,3.8189189189189188,12.578088614381759
USA,JOR,2011,2,1310,4992,3.810687022900763,10.066814620032591
USA,PER,2011,2,580,2175,3.75,8.896715933654683
USA,MAR,2010,2,122,457,3.7459016393442623,15.152427443970508
USA,COG,2011,2,111,415,3.7387387387387387,8.68510921238887
USA,OMN,2010,4,162,598,3.691358024691358,9.517087574898595
